statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2008-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE12-15;Abendschulen und Kollegs;BILFO1;Förderschwerpunkte;FOERD-MOT;Körperliche und motorische Entwicklung;-;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2021-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE11;Förderschulen;BILFO1;Förderschwerpunkte;FOERD-MOT;Körperliche und motorische Entwicklung;25046;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2002-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE05;Hauptschulen;BILFO1;Förderschwerpunkte;FOERD-UEB;Förderschwerpunktübergreifend;48;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2013-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE10;Freie Waldorfschulen;BILFO1;Förderschwerpunkte;FOERD-UEB;Förderschwerpunktübergreifend;1;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2023-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE03;Grundschulen;BILFO1;Förderschwerpunkte;FOERD-GST;Geistige Entwicklung;7317;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2021-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE09;Schularten mit drei Bildungsgängen;BILFO1;Förderschwerpunkte;FOERD-SPR;Sprache;5932;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2018-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE03;Grundschulen;BILFO1;Förderschwerpunkte;FOERD-X;Keinem Schwerpunkt zugeordnet;819;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2013-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE10;Freie Waldorfschulen;BILFO1;Förderschwerpunkte;;Insgesamt;330;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2019-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE082;Gymnasien (G8);BILFO1;Förderschwerpunkte;FOERD-X;Keinem Schwerpunkt zugeordnet;363;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2009-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE09;Schularten mit drei Bildungsgängen;BILFO1;Förderschwerpunkte;FOERD-MOT;Körperliche und motorische Entwicklung;925;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2006-P1Y;DINSG;Deutschland insgesamt;DG;Deutschland;BILSA2;Schulart;SCHULE081;Gymnasien (G9);BILFO1;Förderschwerpunkte;FOERD-X;Keinem Schwerpunkt zugeordnet;22;Anzahl;BIL012;Schüler mit sonderpädagogischer Förderung
